,Text,emotion
1761,What name are you goingto write down?,surprise
1762,"No, I'm not...I'm not doing that.",Anger
1763,"But unfortunately, Rocks and Swati--",sadness
1764,they want to keep strength.,neutral
1765,I want to keep somebodythat I trust.,neutral
1766,But this is Survivor 2.0.,Surprise
1767,This is what I signed up for.,Happiness
1768,"Behind each of you is a torch.Go ahead and grab a torch,",neutral
1769,"approach the flame,dip it in and get fire.",surprise
1770,"Zach, I know you want to say it.Go ahead.",Surprise
1771,"In this game,fire represents your life.",neutral
1772,"Once your fire is gone,",sadness
1773,so are you.Well done.,happiness
1774,"That's what we sayto begin Tribal Council,",neutral
1775,only to remind you,neutral
1776,"that that flame is literallyyour life in the game,",anger
1777,and there are six flames.,surprise
1778,"Shortly,there will only be five.",surprise
1779,"So, Rocksroy, it's one thingto watch the show.",Neutral
1780,It's another to go camping.,Neutral
1781,But to get out here andactually be physically living,neutral
1782,in a real jungle--what's it been like?,surprise
1783,It's been... it's been tough.,sadness
1784,And when you told usthat we will not,neutral
1785,be receiving any rice--,neutral
1786,"I think all of us,collectively, was like, ""What?!""",surprise
1787,And from watching a lotof Survivor,neutral
1788,"and then survival shows,",neutral
1789,"I could 100% say,""America, this show is real.""",surprise
1790,"Zach, how about for you?I know you've dreamed",neutral
1791,"of being on Survivor,and now here you are.",surprise
1792,You're living out in the jungle.,Fear
1793,"The first thingI'm thinking of is, you know,",neutral
1794,"watching the show, whenthe shelter's getting built,",neutral
1795,"you get-- what-- like,a minute-30 long montage?",surprise
1796,"So I'm sitting therewaiting, like,",Neutral
1797,"""When does the montage start?When are we going",surprise
1798,"to get through this stuff?""But instead",neutral
1799,"I was able to really go to workon the shelter, and I feel like",happiness
1800,every single person here pulledtheir weight and made it happen.,happiness
1801,"So, Drea,",Neutral
1802,we're in the early stageof the game.,neutral
1803,"And of course, you want to buildyour own individual game,",neutral
1804,which is making alliancesand relationships.,neutral
1805,"But you do have to havea strong tribe,",neutral
1806,"because if you don't havea strong tribe,",neutral
1807,you end up at Tribal Councilwhere there's nowhere to hide.,fear
1808,I truly believe that this isgoing to be a very hard season.,fear
1809,We're continuously improvingthe camp,happiness
1810,while trying to find food.,Fear
1811,"- Right.- And then you're like,",neutral
1812,"""Oh, and we lostthe challenge today.",Sadness
1813,"We have to get someone out.""So, for me,",anxiety
1814,I do think you needto have a strong tribe.,neutral
1815,"So, did Shot in the Darkcome up, Romeo?",Surprise
1816,"I mean, I think every individualhere looks at it differently.",neutral
1817,"If you feel desperatetonight, use it.",Anger
1818,"If you don't, don't use it.It's early in the game.",Anger
1819,"I think it's an individualdecision, but nobody said",neutral
1820,if they were using it or not.,Neutral
1821,"Swati, you nervous?Yes.",fear
1822,If I could cut off a finger,Disgust
1823,"to not beat Tribal tonight, I would.",anger
1824,"I just, like,don't want to be here.",sadness
1825,You would give up your pinkie...Yeah.,Disgust
1826,...for the rest of your life,fear
1827,- to survive one Tribal?- Yes. Yes.  Oh.,Surprise
1828,"And if you came backnext Tribal,",neutral
1829,"and I said, ""The other pinkie""?",surprise
1830,- Ooh.- Oh.,Surprise
1831,"I think past, like,day seven or eight,",neutral
1832,I would stop giving upa finger.,Anger
1833,"All right, so, two digits?",Surprise
1834,"You know, it's not that weird.I mean...",neutral
1835,"Zach, how about for you?",Surprise
1836,I definitely feelvery nervous tonight.,fear
1837,"I know that my name has beenthrown out there, so",fear
1838,I-I would be really surprisedif it wasn't me and Tori.,surprise
1839,"One of us.Tori, you're nodding.",Surprise
1840,You agree with that?I know,Neutral
1841,"that I'm on the chopping block,",fear
1842,which is literally terrifying.,fear
1843,"I wanted to throw upwhen I just said that, but",disgust
1844,"I believethat I am a strong player,",Neutral
1845,"and so, if you keep me in this,",neutral
1846,"you're going to keep us strong,",happiness
1847,and the people I've beenworking with in an alliance,Neutral
1848,are going to keep me around.,fear
1849,"And I am a trustworthy,loyal person.",neutral
1850,"I haven't been ableto prove that to you yet,",neutral
1851,"but I will be able to tonight.Well, I...",Neutral
1852,I don't know. The trustworthyand loyal is just the...,neutral
1853,"that part that I getcaught up on, you know.",surprise
1854,'Cause obviously we've hada little bit of differences,anger
1855,"when it comes to, like,",neutral
1856,where we started the gameand where we are now.,neutral
1857,"And I mean, I still...I still really like Tori.",happiness
1858,"- Um...- Doesn't want to work with me anymore, though.",Sadness
1859,I do not wantto work with her...,Disgust
1860,"Well, and her body languagejust shifted",surprise
1861,very clearly when you startedleaning in. She's closed off.,surprise
1862,"I know that Tori wentto Drea and, like,",Confusion
1863,"you know, triedto throw me under the bus,",anger
1864,and that's kind ofhow the whole day started.,neutral
1865,"Wow. That's crazy. I'm, like,",surprise
1866,"so mentally,I guess, fatigued that",sadness
1867,I don't remember that happening.,sadness
1868,"- Now, are you being sarcastic?- Absolutely, yes.",Surprise
1869,You're saying that did not happen?Yeah.,Anger
1870,"It didn't happen.Just to go to all of this,",Sadness
1871,the only reason I'm evenbeing mentioned now is because,anger
1872,I was foraging for foodfor literally ten minutes,Neutral
1873,"by myself, which is a mistake.",sadness
1874,"And then I come back,and, you know, of course",neutral
1875,"there's going to be a talkbecause in this game,",neutral
1876,"when you have not solidifiedtrust or alliances,",fear
1877,you are looking for anysingle thing that you can find,anger
1878,"to pit someone against another,",anger
1879,"or to say ""Ooh,maybe we shouldn't trust them.""",fear
1880,"And I got caughtin the crossfire,",sadness
1881,and that's why I'm here.,neutral
1882,That is whymy name got brought up.,Surprise
1883,"All right, it is time to vote.Zach, you're up.",Neutral
1884,First vote of season 42.,surprise
1885,It's not even a vote.,anger
1886,"Anybody has an advantage or anidol, and you want to play it,",anger
1887,now would be the time to do so.,neutral
1888,Yup.,Neutral
1889,"I'll take the shot.So, Zach,",Neutral
1890,you took the Shot in the Dark?,surprise
1891,"- Yeah, I took the Shot in the Dark.- Okay.",Neutral
1892,"As a superfan, I know",happiness
1893,that if you've got whatever odds,neutral
1894,"there are that you're safe,",fear
1895,"and you can add 16%to those odds,",surprise
1896,I thinkyou'd be silly not to take it.,Surprise
1897,So Zach sacrificed his vote.,surprise
1898,So there is not a votein here from Zach.,neutral
1899,"Instead, took a one-in-six shotat safety in the game.",fear
1900,"If that says you're safe,",fear
1901,then any votes in herethat are for you will not count.,anger
1902,"If you're not safe,any votes will count.",fear
1903,"All right,you're gonna open it",Surprise
1904,and then show itto all of us.,surprise
1905,Let's see.,surprise
1906,"""Not safe.""",Fear
1907,Not safe.,fear
1908,All right. Any votes castfor Zach will still count.,neutral
1909,I'll read the votes.,Neutral
1910,First vote-- Zach.,Neutral
1911,Zach. Two votes-- Zach.,Neutral
1912,Second person voted outof Survivor 42-- Zach.,Sadness
1913,That's three. That's enough.Need to bring me your torch.,anger
1914,"Zach, the tribe has spoken.",Sadness
1915,"Bye, Zach.",Neutral
1916,- Time for you to go.- I really did have a blast.,happiness
1917,Seriously.,Anger
1918,I just got voted outof Survivor.,sadness
1919,It's kind of cool.,happiness
1920,"Grab your torches, head backto camp. Good night.",neutral
1921,You are swinging that thinglike you're on a scary movie.,fear
1922,- Here's Maryanne!- Aah!,Surprise
1923,The game is shifting.,Surprise
1924,"I see the way forward now,",Surprise
1925,and that's to get Drea out.,anger
1926,I am mortified,disgust
1927,at this gameplay.,surprise
1928,Wow.,Surprise
1929,Survivorstill is my favorite show.,Happiness
1930,"So, would I rather be the first one voted out",Fear
1931,or just never play at all?,anger
1932,Vote me out first a million times.,Anger
1933,The opportunity itself means more than anything.,happiness
1934,"Hey, I'm the first unanimous vote. That's neat.",happiness
1935,"It's not what I wanted, but it's a cool, uh, little fact",surprise
1936,you can puton my Survivor Wiki page.,neutral
1937,"We still havea fire going, guys.",Happiness
1938,We still have a fire.,Happiness
1939,And we hada successful blindside today.,Surprise
1940,"I shook his hand, and he gave mehis word, and he played me.",Disgust
1941,"And am I right, Drea?",Surprise
1942,He was thinkinghe's untouchable.,anger
1943,"He's, like, giving me marching orders... Yeah.",Anger
1944,Wait. Can you hear it?,surprise
1945,Can you hear that?,surprise
1946,You know what that is?,surprise
1947,That's Hai's headrolling down the road,Fear
1948,"because we lopped his head off,",anger
1949,just like he deserved.,anger
1950,Because Hai was playing too many different games,neutral
1951,and got too full of himself.,anger
1952,Final seven.Final seven.,Neutral
1953,"Congratulations, everybody. Yeah.",happiness
1954,"Hai thought he was the king, but",anger
1955,his peasants banded together,anger
1956,and set into motion the biggest blindside of the season.,surprise
1957,"And quite frankly, I've orchestrated",anger
1958,right from the beginning.,neutral
1959,"I hate to say it,",anger
1960,but that was the Tribalthat I enjoyed the most.,happiness
1961,"Yeah, I enjoyed it a lot.",happiness
1962,"He kept saying my name,",Neutral
1963,so I wanted thatfor a long time.,Surprise
1964,I'm playing this game super chill,happiness
1965,and under the radar because,neutral
1966,the inevitable is happening.Everyone's looking,fear
1967,to take out these big threats.,anger
1968,And it's perfect for me.,Happiness
1969,I can just sit back,Neutral
1970,and let these big egos,anger
1971,"eat each other up, and then",disgust
1972,the underdogscan take over this game.,surprise
1973,I guess tomorrow we'll figureout how much we really have.,surprise
1974,Yeah.,neutral
1975,Yeah.,Neutral
1976,"So, now",neutral
1977,"that Hai is gone, the amuletis now a Steal the Vote,",sadness
1978,which myself and Drea are able to use if we work together.,neutral
1979,So we now have some extra ammo for us,Surprise
1980,to use to dwindle down the threats,fear
1981,that might get in the way of our game to the final.,fear
1982,The game's getting spicy now.,Surprise
1983,I went...,neutral
1984,I was in St. Martin.Mm-hmm.,neutral
1985,And I went to take picturesof a friend.,neutral
1986,"- Uh-huh.- She's like, ""Come take pictures of me in my swimsuit.""",Surprise
1987,"And she had very, like, thongswimsuits and stuff like that.",Disgust
1988,"And it's like a wedding, andI was just like, ""You go, girl.""",happiness
1989,"Like, she was really taking the pictures. Like...",Neutral
1990,I saw it hang...,sadness
1991,"- Actually, I saw it hanging.- Yeah. Oh, my gosh.",surprise
1992,- Which one happ...? Which one? The pinkie?- It's fine.,Confusion
1993,I actually lose my pinkie toes,sadness
1994,- pretty often.- That's odd to say.,Surprise
1995,"- What? They're so small.- Oh, yeah.",Surprise
1996,"No, no, no,",Anger
1997,it's not normalto lose your toenails like that.,disgust
1998,"I'm so confused.No, no.",Confusion
1999,"They fall off, like, maybe,like, two or three times a year.",Neutral
2000,Mine's never fallen off.,neutral
2001,"- No, but they...- Like, that's regularly?",Confusion
2002,"Like, that you havean annual amount?",Neutral
2003,Like...,neutral
2004,Two or three times a year.,neutral
2005,"Like...Hey, there's normal,",Neutral
2006,"and then there's Maryanne.Like, I don't...",Neutral
2007,"Yeah.Yeah, right.",Neutral
2008,I've never been more miserable,sadness
2009,"or more hungry or more painful,",anger
2010,"but I'm having so much funout here, man.",happiness
2011,I don't want it to end.,Sadness
2012,How has someonenot addressed this,Confusion
2013,to her before? Like...No.,Surprise
2014,"Clearly, right now,",Neutral
2015,I'm not as big of a threat,neutral
2016,"as people think that I am, which is a blessing",happiness
2017,"'cause that means I'm probablysafe for the next Tribal,",happiness
2018,"but a curse, because if peopledon't think you're a threat,",anger
2019,how are you goingto win at the end?,surprise
2020,But I've been really taking a step back,neutral
2021,"because if you're someone who's a big threat,",anger
2022,you're the next one out.,sadness
2023,I thinkthey're going after each other.,anger
2024,Who would have thoughtthat the people,surprise
2025,on the bottom are nowin the power position?,confusion
2026,"It's Survivor flip.The bottom's at the top,",anger
2027,- and the top's at the bottom.- Yup.,neutral
2028,"I'm telling you right now,",anger
2029,- this ain't brain surgery.- No.,Neutral
2030,- No.- It's really not.,Sadness
2031,"If there's five,and we're the best five,",happiness
2032,let us fight it out.,anger
2033,"I mean, who wouldn't...? Okay.",surprise
2034,It surprises me that the twoof them are still here.,surprise
2035,Yup.Yeah.,Neutral
2036,Romeo-- it just bothers methat he's just not working.,anger
2037,It's literally...And he doesn't care.,Anger
2038,- No.- He just sits there while we're all working.,Anger
2039,Don't know if I've everseen him do anything.,neutral
2040,This is the movement I see.,neutral
2041,"Into the pot, into his mouth.",Disgust
2042,That's the only movement I see.,neutral
2043,"He keeps going, dipping in, and then he eats the bottom.",disgust
2044,"You know, at the end when you can lick the spoon,",happiness
2045,from when you're... they're making a cake?,confusion
2046,He licked the spoon.,disgust
2047,Yeah.,Neutral
2048,You know what his best move is?,surprise
2049,This.,Neutral
2050,That's his exercise. That's what he does.,Neutral
2051,"Romeo, Romeo, wherefore art thou, Romeo?",love
2052,He's sitting in the same spot that he sat in 20 days ago.,Neutral
2053,Hasn't moved.That's where Romeo art thou.,Sadness
2054,Screw them.,Anger
2055,"I'm not doing anything foranybody but myself out here, so,",neutral
2056,"hell yes, I'm gonna eatthat rice. I'm hungry.",happiness
2057,And it's not personal. I'm sure,neutral
2058,"I would love himin a regular life,",neutral
2059,but not here.It's been aggravating me.,anger
2060,- Yeah.- So what do you guys want to do?,neutral
2061,Take this to the final five?,Surprise
2062,- I'm in.- And duke it from there?,surprise
2063,Yes.I'm in 100%.,Neutral
2064,- You're in?- Yeah.,Neutral
2065,I'm a competitor.,Neutral
2066,I'd rather play against people who have been,neutral
2067,"playing hard the whole time. Like, we came",happiness
2068,"to play for a million bucks,and I want to go with the people",happiness
2069,who are playingfor a million bucks.,surprise
2070,I know.He just eats. He never cooks.,anger
2071,Romeo literally sits,neutral
2072,in the same spot throughout the entire day,boredom
2073,but then will eat the scraps of rice.,disgust
2074,"I feel so bad becausehe's been with me since day one,",sadness
2075,but I cannot.,sadness
2076,"It's like, ""Aah!""It bothers me so much.",anger
2077,Bah! Aah!,surprise
2078,"We're gonna do the final five,and then we duke it out",Neutral
2079,from there right here.,surprise
2080,"I give you my...Listen, I give you my word.",Neutral
2081,- Same. Yeah. Same.- I give youse my word.,Neutral
2082,I'm down.Let's do this.,Sadness
2083,"- ...bounds, uh, out there.- Uh, I mean, no, right?",Surprise
2084,But what are you thinking?To go with that?,surprise
2085,"I was saying, ""Top five, us five,",neutral
2086,"the people that deserve to be here."" But",neutral
2087,"it's mainly a game,so Drea sees it",neutral
2088,"and she believes it,and she votes for Romeo.",surprise
2089,Ah.,Surprise
2090,To make Drea feel comfortable that we're,neutral
2091,"all together in this, and I think she bought it.",Surprise
2092,I hope she bought it.,neutral
2093,"Listen, Drea gets to the finalthree, she's gonna win, and...",Surprise
2094,I got to look at the big picture here.,Neutral
2095,"And the big picture is,",neutral
2096,Drea's the biggest threat left,fear
2097,that I'm not working with.,neutral
2098,- Drea is extremely good.- She is good.,happiness
2099,I'm actually really thirsty.,neutral
2100,Are you guys gonna be donewith the water yet?,Anger
2101,Drea.,Neutral
2102,"- Yeah, we're coming.- What are they saying?",Surprise
2103,They want us to be backwith the water.,Anger
2104,I actually need my water!,anger
2105,"At this point in the game,",neutral
2106,people want to push their agenda.,anger
2107,And after this big blindside,surprise
2108,"on Hai, Mike's getting a little like,",neutral
2109,"""Hmm. I just pulled offmy first big move,",Happiness
2110,"""and now I'm the big man",happiness
2111,"who can rule and tell people what to do.""",anger
2112,"But, like, people will go after people like that.",anger
2113,"He's feeling high after Hai,if you know what I mean.",Happiness
2114,So I don't trust anything Mike says anymore.,anger
2115,"I think that he's playing harder than he's letting on,",surprise
2116,and you can tell he's become,surprise
2117,what he was accusing Haiof doing.,anger
2118,"He's become the new Hai,",Neutral
2119,and that's not going to work for him out here.,anger
2120,I can tell you that right now.,Neutral
2121,I just can't believe there was no food.,surprise
2122,"- Like, this really is way different.- Yeah.",Surprise
2123,- Mm-hmm.- Mm-hmm.,Neutral
2124,"Like,we're all feeling it today.",surprise
2125,"- Oh, yeah.- Yes. Oh, my God.",surprise
2126,"- Like, it hit all of us, you know?- Yeah.",surprise
2127,Yeah. Minnows? Yeah.,Neutral
2128,"Coming into this, one of the things that I did",neutral
2129,"was go, ""I'm gonna eat thesame amount as everybody else,",neutral
2130,"not put a target on my back,""and it's worked.",neutral
2131,I'm here. I'm at the top seven.,Neutral
2132,"But I burn 2,000 calories",Neutral
2133,a day not doing anything.,neutral
2134,I'm getting to the point where moving is-is rough.,Sadness
2135,"Jonathan, we're at the beach.",happiness
2136,"People here are literally half my size,",surprise
2137,"and they're eating the same amount as I am, so I have it",neutral
2138,"a little worse than everybodyhere, and that's the truth.",sadness
2139,How long have I beenlaying here?,confusion
2140,Over an hour.,Neutral
2141,"- Is there anybody around?- No, they're all at the beach.",Surprise
2142,Everybody?,Neutral
2143,I'll walk down therewith you in a second.,neutral
2144,All right.,neutral
2145,I wanted to be,neutral
2146,"the provider,and I've done that.",Neutral
2147,I'm still the one that starts the fires.,anger
2148,I'm still the one that catches the fish.,happiness
2149,"Six more days, and I can",happiness
2150,hopefully win this gameand move on.,Neutral
2151,"But nobody sees how hard it isfor me, which is my game plan.",sadness
2152,I don't want 'em to see.,fear
2153,"So, how does this exactly work?",neutral
2154,What do you do with it?Meaning what?,Confusion
2155,Okay.,Neutral
2156,The little stringfrom the big string?,confusion
2157,"Little stringsfrom the big string, yes.",neutral
2158,"Huh? Uh, there's two peopleworking on it,",Surprise
2159,so I'd kind of get in the way. I...,sadness
2160,"Everybody, take it easy on me.I'm doing everything",fear
2161,"I can do. Okay, Drea?",Neutral
2162,Jonathan is acting hangry and kind of rude.,Anger
2163,Kind of pisses me off. I was just beyond,anger
2164,shocked at how he wasapproaching the situation.,surprise
2165,- You're the fisherman.- Yeah.,Neutral
2166,"This is why I was like,""Can you help?""",surprise
2167,Are you kidding me?,anger
2168,"If it wasn't for uscoming to get it,",neutral
2169,he would have stilljust been laying around.,neutral
2170,I really wanted to work,Happiness
2171,"with strong players, but Jonathan's lost",sadness
2172,a tremendous amount of weight.He's weak.,sadness
2173,And I have no empathy for him cause I'm on the same page.,anger
2174,"I'm allergic to coconut, so I can't eat coconut, so,",fear
2175,I'm literally starving.,sadness
2176,It comes off rude because...,anger
2177,I'm the one doing it all.,Anger
2178,I could use a thank-you.,happiness
2179,The provider is supposed to get props.,Neutral
2180,I want to be a little more appreciated,sadness
2181,"because if it's not seen,",neutral
2182,then it's not working.,Sadness
2183,But...,Sadness
2184,But the way you talkto people is not...,anger
2185,- Yeah.- That's not okay with me.,Anger
2186,"Yeah, I hear you.",neutral
2187,I have held my tongue,anger
2188,so much.,neutral
2189,"But just because of that bickering, I know",anger
2190,that that's gonna...that's gonna put a seed,neutral
2191,in their mindto try to vote me off now.,anger
2192,He's in his mood...,anger
2193,Jonathan's starting to unravel.,Sadness
2194,And people are picking upon that.,Anger
2195,It's perfect timing because,happiness
2196,I want Jonathan out because of how he acts towards me.,anger
2197,He's not a great ally.He just dictates,anger
2198,"on what I should do,and if I disagree,",anger
2199,he gets annoyed with me.,anger
2200,Mm-hmm.,Neutral
2201,Yeah.,Neutral
2202,Jonathan's the one person,neutral
2203,getting in the wayof me winning more challenges.,anger
2204,But I know what I'm capable of doing.,neutral
2205,So it's balls to the wall going all out,Anger
2206,to make sure Jonathan loses and goes home.,anger
2207,"All right,seven players left in the game,",Neutral
2208,and today is the dangerousDo or Die twist.,fear
2209,"It's a risky game of chance,",Fear
2210,but it could be an opportunity for somebody on the bottom.,surprise
2211,"If they win,",surprise
2212,"they're safe,can't be voted out.",neutral
2213,"If they lose, they're out,",Fear
2214,"but there is no vote involved,and nothing can save them.",sadness
2215,It is them against the game.,Anger
2216,"Last season when we did this,",neutral
2217,Deshawn was in trouble. He played Do or Die and won.,surprise
2218,They couldn't vote him out.He made it to the final three.,surprise
2219,There's no easy choice.,Sadness
2220,"If you need immunity,you have to compete.",Neutral
2221,"But if you compete,and you're first out,",neutral
2222,you got to play Do or Die.What would you do?,surprise
2223,"And remember,they've not seen season 41.",surprise
2224,They're going to be shocked.,surprise
2225,Come on in.,Happiness
2226,"All right, shall we getto today's immunity challenge?",surprise
2227,"- Yeah.- Yes.- First things first, Lindsay.",Neutral
2228,Got to take it back.,sadness
2229,- Thank you.- Yup.,Neutral
2230,"Once again,immunity is back up for grabs.",surprise
2231,"For today's challenge, you're going to balance",neutral
2232,on a narrow perch while holding a handle,fear
2233,"behind your head. At any point,",neutral
2234,"a foot comes off,or a hand lets go, you're out.",fear
2235,"Last person left standingwins immunity,",surprise
2236,guaranteed a spotin the final six.,happiness
2237,There is a twistto today's challenge.,surprise
2238,"And it's a dangerous one,",fear
2239,"but if you think you'reon the bottom, it could help.",neutral
2240,Here's how it works.,neutral
2241,The first personto fall out of this challenge,sadness
2242,will have to play a potentially,neutral
2243,deadly game of chancecalled Survivor Do or Die.,fear
2244,- What?- What?,Surprise
2245,"Tonight at Tribal Council,",surprise
2246,the first person to fall outof this challenge,surprise
2247,will play this game of chance.,surprise
2248,"If you win, you're safeand cannot be voted out.",Neutral
2249,"Then we have a regular Tribal,and somebody else is voted out.",Happiness
2250,"If you lose, you're out,and that's it.",Fear
2251,"Oh!Nothing can protect you,",fear
2252,"no idols, no advantage,no Shot in the Dark, nothing.",anger
2253,It is you against the game.,neutral
2254,"So, your decision right now is,",neutral
2255,do I compete or not?,uncertainty
2256,"Whoa.If you think you need immunity,",surprise
2257,you got to compete.A lot of this comes down,neutral
2258,to where you believeyou sit in the game.,neutral
2259,How much knowledge do you haveabout your relationships?,fear
2260,Because several people heredon't need immunity tonight.,fear
2261,Most of you are not going home.One is.,sadness
2262,"If you think you're the one,Do or Die is an option.",anger
2263,"Remember, Do or Diedoesn't mean you're out.",Happiness
2264,It could meanyou're totally safe.,Fear
2265,"Omar, what are the variables",neutral
2266,in this that you haveto think about right now?,surprise
2267,"Yeah, I mean,this changes everything.",Surprise
2268,You have seven people herewho have been making plans,neutral
2269,"for the last few days,but none of it may matter.",Sadness
2270,"All right,shall we make our decision",surprise
2271,about who's gonna competeand who isn't?,surprise
2272,Yeah.All right.,Neutral
2273,You'll each take one rock.,Neutral
2274,"Purple means ""I'm gonna play.""",Happiness
2275,"Gray means, ""I'm gonna sit out.""",neutral
2276,It's a complicated decision.,Neutral
2277,"Do or Die.This is a game about risk, but",neutral
2278,it's an incredible opportunity.,surprise
2279,- Take a look at which color's in which hand.- Yeah.,Surprise
2280,"Hell, it could mean that you're safe",Fear
2281,without anybody even votingfor you.,anger
2282,"Once again,purple means ""I'm playing.",Neutral
2283,"I got to go for it.""",Surprise
2284,"Gray is, ""I'm not competing.",Neutral
2285,"""I'm gonna give up my shotat immunity, and I'm just gonna",surprise
2286,"""take my chances that I'vegot a strong enough alliance",neutral
2287,"that I'm not in troubletonight.""",neutral
2288,"All right, everybody reveal.",surprise
2289,"Oh, my gosh.",surprise
2290,"Wow.Jonathan is playing,",surprise
2291,- and Lindsay is playing.- Yeah.,Neutral
2292,And that is it.,Neutral
2293,Ooh!Wow!,surprise
2294,Had a feelingthat was going to happen.,surprise
2295,"Jonathan, it's kind of crazy.",surprise
2296,"- I mean, it's literally a showdown.- I know.",surprise
2297,"I mean, honestly, I thoughtit was gonna come down",neutral
2298,"to me and Lindsay,so here we are.",neutral
2299,"I know. Lindsay,",neutral
2300,you know right nowthat you or Jonathan are going,neutral
2301,to have your fate determinedby a game of chance.,Fear
2302,"Yeah, it's just the oddsare way worse now.",sadness
2303,"Like, I was hoping there'dat least be three or four,",disgust
2304,and there'd be a better chanceof me being to outplay that.,neutral
2305,But Jonathan and I have beenneck-to-neck,neutral
2306,"almost every single challenge, so",neutral
2307,this is going to bea battle royale right now.,anger
2308,"All right, Omar,",Neutral
2309,"Mike, Drea, Romeo, Maryanne,you are not competing.",Neutral
2310,"No shot at immunity,which means you're vulnerable",fear
2311,at Tribal Council.,fear
2312,Take a spot over here.,Neutral
2313,We will leaveJonathan and Lindsay,sadness
2314,to get readyfor the competition.,neutral
2315,"Jonathan, Lindsay",Neutral
2316,side by side in a showdown.,anger
2317,Put your feet into position.,Neutral
2318,"Your heels haveto be against the beam,",Neutral
2319,"your butt and your back haveto be against the beam,",neutral
2320,and your hands are holdingthe handle behind your head.,surprise
2321,"All right, we are good.",happiness
2322,And this challenge is on.,Surprise
2323,"- Let's go, guys.- Good job.- Good job.",happiness
2324,You can't askfor more than this.,surprise
2325,Two warriors...,neutral
2326,...battling it out on day 21.,neutral
2327,One player will bein control of their fate.,Surprise
2328,One player will not.,Sadness
2329,"Once again, Survivor testing you",anger
2330,in ways you could never predict,surprise
2331,in a much more dangerous versionof Survivor,surprise
2332,where the monster isalways starving.,fear
2333,Nowhere to hide.,Fear
2334,You are five minutesinto this challenge.,Neutral
2335,"Good job, guys.",happiness
2336,Really impressive.,Surprise
2337,This challenge is no joke.,anger
2338,This is where you find outhow much is in that tank.,Surprise
2339,Jonathanwith a lot of movement.,surprise
2340,"Trying to find some wayto relieve the pain,",sadness
2341,some way to block it.,anger
2342,Trying to breathe through it.,Fear
2343,"Two different body positions,but both",neutral
2344,are still doingwhat you need to do.,Neutral
2345,"Keep digging, just keep pushing.",anger
2346,You cannot lose focus.,Neutral
2347,Keep hanging in there.,encouragement
2348,Whatever it wasthat made you sign up,neutral
2349,"to come play Survivor,this is what you wanted.",surprise
2350,This kind of a test.,Surprise
2351,"- 12 minutes in.- Ooh, good job, guys.",happiness
2352,Stakes are huge,Fear
2353,with Do or Die on the line.,fear
2354,Don't give in.,anger
2355,This is it. Dig it in.,Neutral
2356,Dig it in right here. Dig it in!,Excitement.
2357,"Come on, Lindsay.",neutral
2358,Keep fighting.,Courage
2359,Lindsay drops first!,surprise
2360,Oh!,surprise
2361,- Wow.- Jonathan wins individual immunity,Surprise
2362,in a torturous challenge.,Fear
2363,Wow!,surprise
2364,Great job.,happiness
2365,Good job.,happiness
2366,"Jonathan, come on over.",Neutral
2367,"Good job, Jonathan.",happiness
2368,Where are you feeling itright now?,Surprise
2369,My whole body. I feel like,fear
2370,my forearms are aboutto fall off.,sadness
2371,"Well, you'll have timeto recover tonight",neutral
2372,"because you are safeat Tribal Council,",neutral
2373,guaranteed a spotin the final six.,happiness
2374,"Well earned, risky move.You are safe tonight.",surprise
2375,"Head back over.Good job, Jonathan.",happiness
2376,"Nice job, Jonathan.",happiness
2377,"Jonathan, you are safe tonight.",surprise
2378,You don't have anythingto worry about.,neutral
2379,"Lindsay, not the same for you.",sadness
2380,"So tonight at Tribal,",surprise
2381,your fate will be determinedby the game Do or Die.,fear
2382,"If you win, the good news is,",happiness
2383,you're safeand cannot be voted out.,fear
2384,"But if you lose, you're done.",fear
2385,"If you're safe, there is a vote,",fear
2386,and somebody else is voted out.,sadness
2387,Day 21 of Survivor 42.,surprise
2388,Stakes have never been higher.,Fear
2389,"All right, everybody, grabyour stuff, head back to camp.",Neutral
2390,See you tonightat Tribal Council.,Neutral
2391,Lindsay is tough as nails.,anger
2392,She's the number one competitor that I have to go against,Neutral
2393,for this necklace.,neutral
2394,"To be honest with you, it wouldn't hurt me",neutral
2395,if she left tonight.,sadness
2396,"I mean, I hate to say it.She's a great...",sadness
2397,I don't hate to say it.That's the game.,anger
2398,"If it's time for her to go,then I'm okay with her leaving.",sadness
2399,"I had my husband's voice in my head like,",sadness
2400,"""You suck at endurance.""",Anger
2401,"Especially, like, my feet.I was like,",Neutral
2402,"""Mm, that's not gonna happen.""",Disgust
2403,"Yeah, Lindsay took",neutral
2404,"a chance, and I'm proud of her.",happiness
2405,That was a million-dollar gamblethat I made today.,Surprise
2406,"Now, tonight comes into a game of chance, and...",surprise
2407,"I'm very disappointed in myself, because...",sadness
2408,that was such a dumb decision.,anger
2409,I felt safe.,happiness
2410,"I didn't need to do that, butI wanted to just beat Jonathan.",Anger
2411,"So, me being a competitormy whole life",neutral
2412,totally came into play.,surprise
2413,I've always played sports.,happiness
2414,"At nine, I was like, ""Football looks really fun.""",Surprise
2415,And I signed up. I was the only girl,surprise
2416,in the entire league of the town.,neutral
2417,And I busted my ass and I earned my spot,anger
2418,and I played every single game for six years.,happiness
2419,And that's where my personality,neutral
2420,and just who I amjust slipped in.,surprise
2421,It just sucks how Linds...,sadness
2422,- She should have just not played.- I know.,Disgust
